motion_thresh,med_rsq,CI_95,n,age_l,age_u,med_age_motion_r_a,med_age_motion_p_a,med_age_motion_r_b,med_age_motion_p_b
30.0,-0.692456003861,2.12416321983,80.0,6.0,18.0,-0.124826471214,0.270054641651,-0.131773917899,0.243956559932
30.0,-0.60829101841,1.42763284168,90.0,6.0,18.0,-0.163627751103,0.123312937353,-0.152880613718,0.150342445717
30.0,-0.689591766807,2.57801405617,100.0,6.0,18.0,-0.133477778566,0.170170555387,-0.150471813867,0.128441531547
35.0,-1.33067205863,3.16161875293,10.0,6.0,18.0,-0.134687496732,0.498479278755,-0.175920967263,0.447644164048
35.0,-1.23681580499,2.92494122429,20.0,6.0,18.0,-0.165081878677,0.427744657732,-0.163268479526,0.419304651814
35.0,-1.13027410558,2.52181808773,30.0,6.0,18.0,-0.100659968863,0.44565370145,-0.152837367493,0.383479478212
35.0,-1.11455311813,3.35688680515,40.0,6.0,18.0,-0.117255151475,0.312625381219,-0.130493939189,0.363586138931
35.0,-0.897868052916,3.13418841001,50.0,6.0,18.0,-0.0951824673423,0.444859061628,-0.14673343791,0.250979631301
35.0,-0.911554518747,2.45630231249,60.0,6.0,18.0,-0.150238158316,0.245250070712,-0.123923521245,0.327958896244
35.0,-0.765155225163,2.62449165572,70.0,6.0,18.0,-0.132729701163,0.266702585855,-0.118845355388,0.318159293252
35.0,-0.725033043418,2.23891045369,80.0,6.0,18.0,-0.100072938554,0.36182645214,-0.144814057748,0.199970586037
35.0,-0.676379864959,2.24910943392,90.0,6.0,18.0,-0.119814258984,0.247972746057,-0.123914590449,0.244593844081
35.0,-0.60732990963,2.9058359509,100.0,6.0,18.0,-0.135349496734,0.179396155549,-0.126163920995,0.211095091913
40.0,-1.25296838374,4.45928451086,10.0,6.0,18.0,-0.13615995121,0.565165663879,-0.125038875409,0.470136912846
40.0,-1.19158390508,3.45316231631,20.0,6.0,18.0,-0.115394760685,0.491486811608,-0.0841902922177,0.484002857098
40.0,-0.990430863549,3.9524462463,30.0,6.0,18.0,-0.133219219709,0.439514935405,-0.194557396584,0.303053530119
40.0,-1.02846849165,3.09673021573,40.0,6.0,18.0,-0.135204675367,0.35555771451,-0.108993696802,0.409055740508
40.0,-0.876926635427,2.46535153419,50.0,6.0,18.0,-0.0984697271168,0.456745612279,-0.106977283934,0.437143974242
40.0,-0.828696767999,3.06675542003,60.0,6.0,18.0,-0.0700387639438,0.447231425588,-0.131832381417,0.292062383092
40.0,-0.685566756597,3.39968050436,70.0,6.0,18.0,-0.0924823107892,0.428488956306,-0.107665726506,0.304091396524
40.0,-0.714072579595,3.24619262327,80.0,6.0,18.0,-0.105367594925,0.346356347549,-0.10288754125,0.341843990015
40.0,-0.667214249458,2.54349537682,90.0,6.0,18.0,-0.119806338199,0.241418417252,-0.0968432335082,0.34736660418
40.0,-0.667076808165,3.16208501645,100.0,6.0,18.0,-0.108825776286,0.258077466995,-0.106038705291,0.290399514171
45.0,-1.25333558169,3.38281470613,10.0,6.0,18.0,-0.142611976642,0.465291394364,-0.180935936412,0.451048763145
45.0,-1.21991720988,3.72198819606,20.0,6.0,18.0,-0.0934409174013,0.481324359436,-0.138919657866,0.445095416028
